1-3 neprazdna baterie debug
4-6 not empty baterry, release 
6-9 fully charge baterry, release 
9-12 fully charge baterry, debug


GetHelpInfo(..) 0.1736 0.1267,   0.1265,   0.1476,   0.1329,   0.1251,   0.1172,   0.1327,   0.1251,   0.1093,   0.1264,   0.1190, 

GetAccelerometer(..) 0.0820  0.0663,   0.0663,   0.0585,   0.0816,   0.0663,   0.0585,   0.0601,   0.0584,   0.0585,   0.0662,   0.0819, 

GetVersionInfo(..)0.0349  0.0351,   0.0741,   0.0349,   0.0429,   0.0273,   0.0742,   0.0663,   0.0741,   0.0270,   0.0273,   0.0740, 

GetCamParams(..) 0.0513  0.0507,   0.0506,   0.0497,   0.0505,   0.0428,   0.0507,   0.0507,   0.0507,   0.0507,   0.0507,   0.0509, 

GetEncoders(..) 0.0512  0.0270,   0.0506,   0.0585,   0.0507,   0.0506,   0.0507,   0.0506,   0.0506,   0.0194,   0.0192,   0.0504, 

GetImage(..) 0.324   0.2851,   0.2538,   0.3319,   0.3006,   0.3475,   0.2225,   0.4569,   0.3163,   0.2382,   0.3318,   0.3082, 

GetIR(..) 0.0850  0.0663,   0.0660,   0.0585,   0.0583,   0.0585,   0.0507,   0.0507,   0.0585,   0.0584,   0.0662,   0.0741, 

GetIRInfo(..)0.0850  0.0287,   0.0460,   0.0616,   0.0498,   0.0890,   0.0265,   0.0263,   0.0890,   0.0499,   0.0850,   0.0265, 

GetLight(..) 0.1142   0.1140,   0.0889,   0.0500,   0.0500,   0.0812,   0.1125,   0.0499,   0.1123,   0.1147,   0.1120,   0.0500, 

Microphones(..) 0.0670  0.0498,   0.0186,   0.0186,   0.0187,   0.0187,   0.0187,   0.0187,   0.0187,   0.0187,   0.0187,   0.0186, 

ada.GetSelector(..) 0.186  0.0499,   0.0499,   0.0497,   0.0577,   0.0578,   0.0499,   0.0498,   0.0500,   0.0500,   0.0500,   0.0499, 

GetSpeed(..) 0.0654  0.0025,   0.0025,   0.0025,   0.0024,   0.0026,   0.0025,   0.0025,   0.0024,   0.0025,   0.0024,   0.0024, 

Reset(..) KO  1.3942,   1.3942,  KO,  KO,   1.3941,  KO,   1.4019,   1.3903,  KO,   1.3823,   1.3864, 

BodyLight(..) 0.0351 0.0273,   0.0430,   0.0430,   0.0195,   0.0273,   0.0273,   0.0196,   0.0350,   0.0352,   0.0312,   0.0351, 

CalibrateIRSensors(..) 3.706  3.7061,   3.6905,   3.6943,   3.6945,   3.6867,   3.6750,   3.6904,   3.7022,   3.6984,   3.6821,   3.7023, 

FrontLight(..) 0.0352  0.0273,   0.0273,   0.0274,   0.0351,   0.0351,   0.0195,   0.0195,   0.0352,   0.0352,   0.0275,   0.0273, 

LightX(..) 0.0186  0.0186,   0.0187,   0.0497,   0.0266,   0.0187,   0.0187,   0.0188,   0.0186,   0.0457,   0.0203,   0.0187, 

Motors(..) 0.0187  0.0499,   0.0187,   0.0499,   0.0500,   0.0187,   0.0187,   0.0188,   0.0187,   0.0187,   0.0498,   0.0265, 

PlaySound(..) 0.0538  0.0499,   0.0185,   0.0499,   0.0421,   0.0500,   0.0187,   0.0185,   0.0188,   0.0534,   0.0500,   0.0499, 

SetCam(..) 0.1942  0.1710,   0.1788,   0.1552,   0.1476,   0.1711,   0.1474,   0.1554,   0.1632,   0.1711,   0.1710,   0.1944, 

SetEncoders(..) 0.0186  0.0265,   0.0420,   0.0812,   0.0264,   0.0461,   0.0265,   0.0500,   0.0186,   0.0216,   0.0264,   0.0515, 

Stop(..) 0.0265  0.0186,   0.0187,   0.0258,   0.0343,   0.0186,   0.0340,   0.0187,   0.0188,   0.0187,   0.0187,   0.0501, 
